year,school_id,cipcode,major_number,total,instnm
2005,190150,27.0501,1,4,Columbia University in the City of New York
2005,190150,27.0501,2,3,Columbia University in the City of New York
2005,190150,27.9999,1,0,Columbia University in the City of New York
2005,190150,38.0101,1,44,Columbia University in the City of New York
2005,190150,38.0101,2,9,Columbia University in the City of New York
2005,190150,38.0201,1,22,Columbia University in the City of New York
2005,190150,38.0201,2,4,Columbia University in the City of New York
2005,190150,38.9999,1,14,Columbia University in the City of New York
2005,190150,38.9999,2,0,Columbia University in the City of New York
2005,190150,40.0201,1,2,Columbia University in the City of New York
2005,190150,40.0201,2,3,Columbia University in the City of New York
2005,190150,40.0202,1,4,Columbia University in the City of New York
2005,190150,40.0501,1,6,Columbia University in the City of New York
2005,190150,40.0501,2,1,Columbia University in the City of New York
2005,190150,40.0601,1,13,Columbia University in the City of New York
2005,190150,40.0601,2,4,Columbia University in the City of New York
2005,190150,40.0801,1,14,Columbia University in the City of New York
2005,190150,40.0801,2,2,Columbia University in the City of New York
2005,190150,40.9999,1,0,Columbia University in the City of New York
2005,190150,42.0101,1,56,Columbia University in the City of New York
2005,190150,42.0101,2,21,Columbia University in the City of New York
2005,190150,45.0201,1,30,Columbia University in the City of New York
2005,190150,45.0201,2,7,Columbia University in the City of New York
2005,190150,45.0601,1,188,Columbia University in the City of New York
2005,190150,45.0601,2,15,Columbia University in the City of New York
2005,190150,45.1001,1,145,Columbia University in the City of New York
2005,190150,45.1001,2,18,Columbia University in the City of New York
2005,190150,45.1101,1,27,Columbia University in the City of New York
2005,190150,45.1101,2,5,Columbia University in the City of New York
2005,190150,45.1201,1,15,Columbia University in the City of New York
2005,190150,45.9999,1,1,Columbia University in the City of New York
2005,190150,45.9999,2,2,Columbia University in the City of New York
2005,190150,50.0301,1,5,Columbia University in the City of New York
2005,190150,50.0301,2,1,Columbia University in the City of New York
2005,190150,50.0501,1,1,Columbia University in the City of New York
2005,190150,50.0501,2,0,Columbia University in the City of New York
2005,190150,50.0703,1,44,Columbia University in the City of New York
2005,190150,50.0703,2,24,Columbia University in the City of New York
2005,190150,50.0901,1,15,Columbia University in the City of New York
2005,190150,50.0901,2,10,Columbia University in the City of New York
2005,190150,50.9999,1,40,Columbia University in the City of New York
2005,190150,50.9999,2,5,Columbia University in the City of New York
2005,190150,51.1601,1,155,Columbia University in the City of New York
2005,190150,54.0101,1,113,Columbia University in the City of New York
2005,190150,54.0101,2,32,Columbia University in the City of New York
2005,190415,01.0000,1,30,Cornell University
2005,190415,01.0101,1,3,Cornell University
2005,190415,01.0102,1,194,Cornell University
2005,190415,01.0103,1,1,Cornell University
2005,190415,01.0701,1,2,Cornell University
2005,190415,01.0901,1,135,Cornell University
2005,190415,01.1001,1,13,Cornell University
2005,190415,01.1101,1,19,Cornell University
2005,190415,01.1102,1,1,Cornell University
2005,190415,03.0101,1,51,Cornell University
2005,190415,04.0201,1,46,Cornell University
2005,190415,04.0301,1,33,Cornell University
2005,190415,04.0401,1,17,Cornell University
2005,190415,04.0601,1,16,Cornell University
2005,190415,05.0102,1,21,Cornell University
2005,190415,05.0103,1,8,Cornell University
2005,190415,05.0104,1,0,Cornell University
2005,190415,05.0108,1,9,Cornell University
2005,190415,05.0125,1,1,Cornell University
2005,190415,05.0201,1,3,Cornell University
2005,190415,05.0208,1,3,Cornell University
2005,190415,09.0101,1,83,Cornell University
2005,190415,11.0103,1,4,Cornell University
2005,190415,11.0701,1,113,Cornell University
2005,190415,12.0508,1,0,Cornell University
2005,190415,13.0101,1,0,Cornell University
2005,190415,13.1301,1,2,Cornell University
2005,190415,14.0101,1,6,Cornell University
2005,190415,14.0301,1,86,Cornell University
2005,190415,14.0701,1,42,Cornell University
2005,190415,14.0801,1,41,Cornell University
2005,190415,14.1001,1,145,Cornell University
2005,190415,14.1201,1,37,Cornell University
2005,190415,14.1801,1,31,Cornell University
2005,190415,14.1901,1,125,Cornell University
2005,190415,14.3701,1,101,Cornell University
2005,190415,16.0102,1,10,Cornell University
2005,190415,16.0104,1,13,Cornell University
2005,190415,16.0501,1,0,Cornell University
2005,190415,16.0901,1,9,Cornell University
2005,190415,16.0902,1,2,Cornell University
2005,190415,16.0905,1,18,Cornell University
2005,190415,16.1200,1,13,Cornell University
2005,190415,19.0501,1,30,Cornell University
2005,190415,19.0701,1,118,Cornell University
2005,190415,23.0101,1,90,Cornell University
2005,190415,24.0101,1,37,Cornell University
2005,190415,26.0101,1,282,Cornell University
